high,best_bid,last,cur,symbol,best_ask,vwap,max_bid,volume,low,min_ask,time
2.47999,1.56,2.47999,PAY,PAY/USD,2.48,2.47999,2.47999,2.4199286,2.47999,2.44,Mon Nov 27 18:27:08 2017
0.0,0.00100808,0.0,RLC,RLC/ETH,0.00169987,0.0,0.00100808,0.0,0.0,0.00169983,Mon Nov 27 18:27:08 2017
0.001698,0.001432,0.00143201,MGO,MGO/ETH,0.00419944,0.00152201,0.001698,93.42109941,0.00143201,0.00143201,Mon Nov 27 18:27:08 2017
9e-06,4.43e-06,6e-06,WIC,WIC/ETH,8.99e-06,6.72e-06,9e-06,11515.8802516,4.39e-06,6e-06,Mon Nov 27 18:27:08 2017
0.00010997,7e-05,7.3e-05,ETHP,ETHP/BTC,7.292e-05,6.88e-05,0.0005,13331.9613091,5.09e-05,5.09e-05,Mon Nov 27 18:27:08 2017
0.0,12.0000001,0.0,EL,EL/UNRC,56.0,0.0,8.1,0.0,0.0,56.0,Mon Nov 27 18:27:08 2017
300.0,287.01001,293.9,BCC,BCC/USD,294.99999,292.84787572,2312.0,12.26506843,230.0,230.0,Mon Nov 27 18:27:08 2017
1.4,1.20004,1.35,BIO,BIO/RUR,1.6,1.35661068,1.4,1094.73946,1.35,1.35,Mon Nov 27 18:27:08 2017
0.73791,0.41033,0.73791,RLC,RLC/USD,0.68997,0.73791,0.73791,1.35274,0.73791,0.68997,Mon Nov 27 18:27:08 2017
0.0,0.0,0.0,BCC,BCC/ESC,0.0,0.0,0.0,0.0,0.0,0.0,Mon Nov 27 18:27:08 2017
0.00075,0.00070502,0.00075,MCO,MCO/BTC,0.00075,0.00068836,0.00071,642.19855424,0.00063111,0.00063049,Mon Nov 27 18:27:08 2017
0.00017076,0.00016043,0.00016195,SIB,SIB/BTC,0.0001619,0.00016243,0.00017077,19218.6215862,0.00015501,0.0001509,Mon Nov 27 18:27:08 2017
1.05,0.8702,0.875,THS,THS/USD,0.99986,0.95492886,1.05,136.00072697,0.875,0.875,Mon Nov 27 18:27:08 2017
0.0,4.055e-05,0.0,FUN,FUN/ETH,5.757e-05,0.0,4.124e-05,0.0,0.0,5.591e-05,Mon Nov 27 18:27:08 2017
0.00531747,0.00423781,0.00531746,PAY,PAY/ETH,0.0053,0.00529196,0.00531747,209.04863603,0.00509585,0.005,Mon Nov 27 18:27:08 2017
2.58e-06,2.16e-06,2.58e-06,RBIES,RBIES/BTC,2.58e-06,2.58e-06,2.58e-06,88.78290395,2.58e-06,2.58e-06,Mon Nov 27 18:27:08 2017
0.0,0.08520101,0.0,DGD,DGD/ETH,7.52,0.0,0.08520101,0.0,0.0,6.5,Mon Nov 27 18:27:08 2017
0.0,0.30000333,0.0,ARTE,ARTE/MNE,39.456,0.0,0.0,0.0,0.0,0.0,Mon Nov 27 18:27:08 2017
2.75e-06,2.46e-06,2.46e-06,ENJ,ENJ/BTC,2.53e-06,2.52e-06,2.75e-06,44875.472361,2.42e-06,2.42e-06,Mon Nov 27 18:27:08 2017
0.67,0.67,0.67,OBITS,OBITS/EUR,0.83,0.67,0.67,34.53368363,0.67,0.0,Mon Nov 27 18:27:08 2017
1.36e-06,1.16e-06,1.16e-06,HNC,HNC/BTC,1.22e-06,1.24e-06,1.36e-06,561681.869284,1.11e-06,1.15e-06,Mon Nov 27 18:27:08 2017
9.6e-05,3.003e-05,3.504e-05,GNT,GNT/BTC,4.341e-05,4.237e-05,9.999e-05,100389.678936,2.519e-05,2.379e-05,Mon Nov 27 18:27:08 2017
1.69e-06,1.5e-06,1.52e-06,FU,FU/BTC,1.52e-06,1.54e-06,1.69e-06,1016101.10878,1.5e-06,1.5e-06,Mon Nov 27 18:27:08 2017
5.915e-05,4.46e-05,4.522e-05,XSPEC,XSPEC/BTC,4.514e-05,4.514e-05,5.916e-05,31285.6578132,4.001e-05,4.001e-05,Mon Nov 27 18:27:08 2017
0.93,0.9,0.92,EMC,EMC/USD,0.92999,0.86136117,0.93,13568.8424312,0.81052,0.81052,Mon Nov 27 18:27:08 2017
7.6e-07,7.1e-07,7.2e-07,ASAFE2,ASAFE2/BTC,7.4e-07,7.2e-07,7.6e-07,13506.5939796,7.1e-07,7.1e-07,Mon Nov 27 18:27:08 2017
1.17,1.1695,1.17,EUR,EUR/USD,1.17,1.16536648,1.17111,8429.30066749,1.14601,1.14601,Mon Nov 27 18:27:08 2017
0.0,5.51e-05,0.0,POSW,POSW/DASH,0.00077,0.0,5.51e-05,0.0,0.0,0.00077,Mon Nov 27 18:27:08 2017
5.323e-05,3.1e-05,4.02e-05,HST,HST/BTC,4.687e-05,4.515e-05,5.323e-05,8192.50336636,1.807e-05,1.807e-05,Mon Nov 27 18:27:08 2017
1.449e-05,9.16e-06,1.104e-05,MOIN,MOIN/BTC,1.207e-05,1.215e-05,1.449e-05,18628.9219725,1e-05,1e-05,Mon Nov 27 18:27:08 2017
1e-08,0.0,1e-08,VRS,VRS/BTC,1e-08,1e-08,1e-08,719649.630665,1e-08,1e-08,Mon Nov 27 18:27:08 2017
5.01e-05,4.604e-05,4.645e-05,SLR,SLR/BTC,4.672e-05,4.728e-05,5.01e-05,12004.0923289,4.6e-05,4.6e-05,Mon Nov 27 18:27:08 2017
2.84e-06,2.5e-06,2.58e-06,BIO,BIO/BTC,2.58e-06,2.54e-06,2.84e-06,41128.5990971,2.25e-06,2.57e-06,Mon Nov 27 18:27:08 2017
0.02972,0.01654,0.02829,FUN,FUN/USD,0.02829,0.02568724,0.0298,321.21282416,0.0166,0.0166,Mon Nov 27 18:27:08 2017
0.00329998,0.00177107,0.00329,THS,THS/ETH,0.00269689,0.00279853,0.00329998,33369.6934181,0.00110053,0.00110053,Mon Nov 27 18:27:08 2017
0.00048896,0.00041612,0.00048895,XEM,XEM/ETH,0.00048895,0.00047954,0.00048896,243.77739661,0.00043488,0.00043488,Mon Nov 27 18:27:08 2017
0.22262,0.21225,0.22221,XEM,XEM/USD,0.2225,0.22022145,0.22262,2745.44576551,0.20601,0.20601,Mon Nov 27 18:27:08 2017
0.0,0.65065,0.0,THS,THS/EUR,3.979,0.0,0.65065,0.0,0.0,0.0,Mon Nov 27 18:27:08 2017
